date,tenor,yield
2021-04-21,7.0,7.0549
2021-04-21,10.0,7.2375
2021-04-21,15.0,7.358
2021-04-21,20.0,7.4277
2021-04-22,0.25,5.0839
2021-04-22,0.5,5.1128
2021-04-22,0.75,5.1801
2021-04-22,1.0,5.2705
2021-04-22,2.0,5.7084
2021-04-22,3.0,6.1158
2021-04-22,5.0,6.6802
2021-04-22,7.0,6.9769
2021-04-22,10.0,7.1632
2021-04-22,15.0,7.2896
2021-04-22,20.0,7.361
2021-04-23,0.25,5.2028
2021-04-23,0.5,5.2608
2021-04-23,0.75,5.3378
2021-04-23,1.0,5.4242
2021-04-23,2.0,5.8011
2021-04-23,3.0,6.1553
2021-04-23,5.0,6.6712
2021-04-23,7.0,6.9606
2021-04-23,10.0,7.161
2021-04-23,15.0,7.3073
2021-04-23,20.0,7.3857
2021-04-26,0.25,5.1965
2021-04-26,0.5,5.2726
2021-04-26,0.75,5.362
2021-04-26,1.0,5.456
2021-04-26,2.0,5.8351
2021-04-26,3.0,6.1733
2021-04-26,5.0,6.6541
2021-04-26,7.0,6.9267
2021-04-26,10.0,7.1263
2021-04-26,15.0,7.2697
2021-04-26,20.0,7.3431
2021-04-27,0.25,5.1604
2021-04-27,0.5,5.2629
2021-04-27,0.75,5.3704
2021-04-27,1.0,5.4737
2021-04-27,2.0,5.8555
2021-04-27,3.0,6.1925
2021-04-27,5.0,6.6746
2021-04-27,7.0,6.9567
2021-04-27,10.0,7.1761
2021-04-27,15.0,7.3318
2021-04-27,20.0,7.409
2021-04-28,0.25,5.1156
2021-04-28,0.5,5.2168
2021-04-28,0.75,5.3243
2021-04-28,1.0,5.4342
2021-04-28,2.0,5.8549
2021-04-28,3.0,6.2061
2021-04-28,5.0,6.6937
2021-04-28,7.0,6.9792
